cellIndex,x,y,z,vol,P,S,material
295,7.929336944,0.0,6.5,79.6856125,8.5,1.0,5
296,9.70816231,0.0,6.5,119.4483697,8.5,1.0,5
297,11.88603992,0.0,6.5,179.0525615,8.5,1.0,5
298,14.55249103,0.0,6.5,268.3989731,8.5,1.0,5
299,17.81711963,0.0,6.5,402.3288366,8.5,1.0,5
300,21.81411768,0.0,6.5,603.0890912,8.5,1.0,5
301,26.70778107,0.0,6.5,904.0277973,8.5,1.0,5
302,32.69926292,0.0,6.5,1355.133545,8.5,1.0,5
303,40.03484202,0.0,6.5,2031.339004,8.5,1.0,5
304,49.016046,0.0,6.5,3044.967903,8.5,1.0,5
305,60.01204561,0.0,6.5,4564.393,8.5,1.0,5
306,73.47482941,0.0,6.5,6842.004292,8.5,1.0,5
307,89.95778268,0.0,6.5,10256.13323,8.5,1.0,5
308,110.1384342,0.0,6.5,15373.89694,8.5,1.0,5
309,134.846306,0.0,6.5,23045.4014,8.5,1.0,5
310,165.0970106,0.0,6.5,34544.95159,8.5,1.0,5
311,202.1339977,0.0,6.5,51782.7249,8.5,1.0,5
312,247.4796659,0.0,6.5,77622.06846,8.5,1.0,5
313,302.9979407,0.0,6.5,116355.1266,8.5,1.0,5
314,370.9708906,0.0,6.5,174415.8042,8.5,1.0,5
315,454.1925313,0.0,6.5,261448.495,8.5,1.0,5
316,0.057038782,0.0,7.5,0.004473552,7.5,1.0,2
317,0.071054976,0.0,7.5,0.006942262,7.5,1.0,2
318,0.088515382,0.0,7.5,0.010773318,7.5,1.0,2
319,0.11026635,0.0,7.5,0.016718526,7.5,1.0,2
320,0.137362204,0.0,7.5,0.02594457,7.5,1.0,2
321,0.169486032,0.0,7.5,0.036406086,7.5,1.0,5
322,0.207507629,0.0,7.5,0.054572558,7.5,1.0,5
323,0.25405879,0.0,7.5,0.081804015,7.5,1.0,5
324,0.31105299,0.0,7.5,0.122623845,7.5,1.0,5
325,0.380832967,0.0,7.5,0.183812585,7.5,1.0,5
326,0.466267014,0.0,7.5,0.275534226,7.5,1.0,5
327,0.570866881,0.0,7.5,0.413024548,7.5,1.0,5
328,0.698932127,0.0,7.5,0.619121914,7.5,1.0,5
329,0.855726851,0.0,7.5,0.928060926,7.5,1.0,5
330,1.047696071,0.0,7.5,1.391159096,7.5,1.0,5
331,1.282730647,0.0,7.5,2.08534114,7.5,1.0,5
332,1.570491632,0.0,7.5,3.125916859,7.5,1.0,5
333,1.922807389,0.0,7.5,4.685735115,7.5,1.0,5
334,2.354159794,0.0,7.5,7.023895569,7.5,1.0,5
335,2.882279507,0.0,7.5,10.52878742,7.5,1.0,5
336,3.528874795,0.0,7.5,15.78260433,7.5,1.0,5
337,4.320523837,0.0,7.5,23.65805192,7.5,1.0,5
338,5.289767224,0.0,7.5,35.46331193,7.5,1.0,5
339,6.476445528,0.0,7.5,53.15934285,7.5,1.0,5
340,7.929336944,0.0,7.5,79.6856125,7.5,1.0,5
341,9.70816231,0.0,7.5,119.4483697,7.5,1.0,5
342,11.88603992,0.0,7.5,179.0525615,7.5,1.0,5
343,14.55249103,0.0,7.5,268.3989731,7.5,1.0,5
344,17.81711963,0.0,7.5,402.3288366,7.5,1.0,5
345,21.81411768,0.0,7.5,603.0890912,7.5,1.0,5
346,26.70778107,0.0,7.5,904.0277973,7.5,1.0,5
347,32.69926292,0.0,7.5,1355.133545,7.5,1.0,5
348,40.03484202,0.0,7.5,2031.339004,7.5,1.0,5
349,49.016046,0.0,7.5,3044.967903,7.5,1.0,5
350,60.01204561,0.0,7.5,4564.393,7.5,1.0,5
351,73.47482941,0.0,7.5,6842.004292,7.5,1.0,5
352,89.95778268,0.0,7.5,10256.13323,7.5,1.0,5
353,110.1384342,0.0,7.5,15373.89694,7.5,1.0,5
354,134.846306,0.0,7.5,23045.4014,7.5,1.0,5
355,165.0970106,0.0,7.5,34544.95159,7.5,1.0,5
356,202.1339977,0.0,7.5,51782.7249,7.5,1.0,5
357,247.4796659,0.0,7.5,77622.06846,7.5,1.0,5
358,302.9979407,0.0,7.5,116355.1266,7.5,1.0,5
359,370.9708906,0.0,7.5,174415.8042,7.5,1.0,5
360,454.1925313,0.0,7.5,261448.495,7.5,1.0,5
361,0.057038782,0.0,8.5,0.004473552,6.5,1.0,3
362,0.071054976,0.0,8.5,0.006942262,6.5,1.0,3
363,0.088515382,0.0,8.5,0.010773318,6.5,1.0,3
364,0.11026635,0.0,8.5,0.016718526,6.5,1.0,3
365,0.137362204,0.0,8.5,0.02594457,6.5,1.0,3
366,0.169486032,0.0,8.5,0.036406086,6.5,1.0,6
367,0.207507629,0.0,8.5,0.054572558,6.5,1.0,6
368,0.25405879,0.0,8.5,0.081804015,6.5,1.0,6
369,0.31105299,0.0,8.5,0.122623845,6.5,1.0,6
370,0.380832967,0.0,8.5,0.183812585,6.5,1.0,6
371,0.466267014,0.0,8.5,0.275534226,6.5,1.0,6
372,0.570866881,0.0,8.5,0.413024548,6.5,1.0,6
373,0.698932127,0.0,8.5,0.619121914,6.5,1.0,6
374,0.855726851,0.0,8.5,0.928060926,6.5,1.0,6
375,1.047696071,0.0,8.5,1.391159096,6.5,1.0,6
376,1.282730647,0.0,8.5,2.08534114,6.5,1.0,6
377,1.570491632,0.0,8.5,3.125916859,6.5,1.0,6
378,1.922807389,0.0,8.5,4.685735115,6.5,1.0,6
379,2.354159794,0.0,8.5,7.023895569,6.5,1.0,6
380,2.882279507,0.0,8.5,10.52878742,6.5,1.0,6
