cellIndex,x,y,z,vol,P,S,material
345,21.81411768,0.0,7.5,603.0890912,7.228425619699903,1.0,5
346,26.70778107,0.0,7.5,904.0277973,7.272373563803658,1.0,5
347,32.69926292,0.0,7.5,1355.133545,7.313582368246436,1.0,5
348,40.03484202,0.0,7.5,2031.339004,7.351841405890495,1.0,5
349,49.016046,0.0,7.5,3044.967903,7.386849274668062,1.0,5
350,60.01204561,0.0,7.5,4564.393,7.4181298084078975,1.0,5
351,73.47482941,0.0,7.5,6842.004292,7.444995214374321,1.0,5
352,89.95778268,0.0,7.5,10256.13323,7.466639872439517,1.0,5
353,110.1384342,0.0,7.5,15373.89694,7.4824334915830795,1.0,5
354,134.846306,0.0,7.5,23045.4014,7.492375302633143,1.0,5
355,165.0970106,0.0,7.5,34544.95159,7.497441162134988,1.0,5
356,202.1339977,0.0,7.5,51782.7249,7.499380071599639,1.0,5
357,247.4796659,0.0,7.5,77622.06846,7.499897969340814,1.0,5
358,302.9979407,0.0,7.5,116355.1266,7.499989079713691,1.0,5
359,370.9708906,0.0,7.5,174415.8042,7.499999259270252,1.0,5
360,454.1925313,0.0,7.5,261448.495,7.4999999699899655,1.0,5
361,0.057038782,0.0,8.5,0.004473552,4.168363579651488,1.0,3
362,0.071054976,0.0,8.5,0.006942262,4.461776018980598,1.0,3
363,0.088515382,0.0,8.5,0.010773318,4.739004076534221,1.0,3
364,0.11026635,0.0,8.5,0.016718526,4.9849621106404545,1.0,3
365,0.137362204,0.0,8.5,0.02594457,5.1844300728837,1.0,3
366,0.169486032,0.0,8.5,0.036406086,5.254438158818957,1.0,6
367,0.207507629,0.0,8.5,0.054572558,5.257308132834352,1.0,6
368,0.25405879,0.0,8.5,0.081804015,5.263794325711676,1.0,6
369,0.31105299,0.0,8.5,0.122623845,5.274736390359926,1.0,6
370,0.380832967,0.0,8.5,0.183812585,5.291018357757164,1.0,6
371,0.466267014,0.0,8.5,0.275534226,5.313488139789068,1.0,6
372,0.570866881,0.0,8.5,0.413024548,5.342840848882702,1.0,6
373,0.698932127,0.0,8.5,0.619121914,5.379473958285921,1.0,6
374,0.855726851,0.0,8.5,0.928060926,5.4233379987943025,1.0,6
375,1.047696071,0.0,8.5,1.391159096,5.473823218771977,1.0,6
376,1.282730647,0.0,8.5,2.08534114,5.5297311493147605,1.0,6
377,1.570491632,0.0,8.5,3.125916859,5.589368987358446,1.0,6
378,1.922807389,0.0,8.5,4.685735115,5.650769631782253,1.0,6
379,2.354159794,0.0,8.5,7.023895569,5.711993141624745,1.0,6
380,2.882279507,0.0,8.5,10.52878742,5.7714316746380305,1.0,6
381,3.528874795,0.0,8.5,15.78260433,5.828036891302466,1.0,6
382,4.320523837,0.0,8.5,23.65805192,5.881410341180982,1.0,6
383,5.289767224,0.0,8.5,35.46331193,5.931732323911723,1.0,6
384,6.476445528,0.0,8.5,53.15934285,5.979555213282525,1.0,6
385,7.929336944,0.0,8.5,79.6856125,6.0255419486113135,1.0,6
386,9.70816231,0.0,8.5,119.4483697,6.070249208723338,1.0,6
387,11.88603992,0.0,8.5,179.0525615,6.114017622878389,1.0,6
388,14.55249103,0.0,8.5,268.3989731,6.156968070706343,1.0,6
389,17.81711963,0.0,8.5,402.3288366,6.19905710799203,1.0,6
390,21.81411768,0.0,8.5,603.0890912,6.240136728660938,1.0,6
391,26.70778107,0.0,8.5,904.0277973,6.279985674670832,1.0,6
392,32.69926292,0.0,8.5,1355.133545,6.318306076689575,1.0,6
393,40.03484202,0.0,8.5,2031.339004,6.354693169178363,1.0,6
394,49.016046,0.0,8.5,3044.967903,6.388591038317456,1.0,6
395,60.01204561,0.0,8.5,4564.393,6.419256851059336,1.0,6
396,73.47482941,0.0,8.5,6842.004292,6.445775527686495,1.0,6
397,89.95778268,0.0,8.5,10256.13323,6.467188170710815,1.0,6
398,110.1384342,0.0,8.5,15373.89694,6.48279158432568,1.0,6
399,134.846306,0.0,8.5,23045.4014,6.492573623246646,1.0,6
400,165.0970106,0.0,8.5,34544.95159,6.497526248607899,1.0,6
401,202.1339977,0.0,8.5,51782.7249,6.499405996956618,1.0,6
402,247.4796659,0.0,8.5,77622.06846,6.499903192734901,1.0,6
403,302.9979407,0.0,8.5,116355.1266,6.499989744042372,1.0,6
404,370.9708906,0.0,8.5,174415.8042,6.499999311375617,1.0,6
405,454.1925313,0.0,8.5,261448.495,6.499999972363751,1.0,6
406,0.057038782,0.0,9.5,0.004473552,3.2234979109872173,1.0,3
407,0.071054976,0.0,9.5,0.006942262,3.6166356558119053,1.0,3
408,0.088515382,0.0,9.5,0.010773318,3.994951716709653,1.0,3
409,0.11026635,0.0,9.5,0.016718526,4.344883249370831,1.0,3
410,0.137362204,0.0,9.5,0.02594457,4.65215084003692,1.0,3
411,0.169486032,0.0,9.5,0.036406086,4.770481290098015,1.0,6
412,0.207507629,0.0,9.5,0.054572558,4.770856949055303,1.0,6
413,0.25405879,0.0,9.5,0.081804015,4.7717822724263215,1.0,6
414,0.31105299,0.0,9.5,0.122623845,4.773506669238935,1.0,6
415,0.380832967,0.0,9.5,0.183812585,4.7763685020047255,1.0,6
416,0.466267014,0.0,9.5,0.275534226,4.780807521414358,1.0,6
417,0.570866881,0.0,9.5,0.413024548,4.787363230633568,1.0,6
418,0.698932127,0.0,9.5,0.619121914,4.796646310969961,1.0,6
419,0.855726851,0.0,9.5,0.928060926,4.809269230389835,1.0,6
420,1.047696071,0.0,9.5,1.391159096,4.825728742496717,1.0,6
421,1.282730647,0.0,9.5,2.08534114,4.846252096574721,1.0,6
422,1.570491632,0.0,9.5,3.125916859,4.870649979614591,1.0,6
