cellIndex,x,y,z,vol,b,h0,material
271,324.2162398,0,4.375,134260.6932,0,20,2
272,364.199894,0,4.375,169417.7798,0,20,2
273,409.1144937,0,4.375,213780.9916,0,20,2
274,459.5681431,0,4.375,269761.0157,0,20,2
275,516.2439399,0,4.375,340399.7945,0,20,2
276,579.9092246,0,4.375,429535.8237,0,20,2
277,651.4259689,0,4.375,542012.7356,0,20,2
278,731.7624466,0,4.375,683942.5011,0,20,2
279,822.0063426,0,4.375,863037.5527,0,20,2
280,923.37948,0,4.375,1089029.876,0,20,2
281,1037.254361,0,4.375,1374199.845,0,20,2
282,1165.172752,0,4.375,1734043.533,0,20,2
283,1308.866555,0,4.375,2188114.768,0,20,2
284,1470.281258,0,4.375,2761087.681,0,20,2
285,1651.602272,0,4.375,3484097.495,0,20,2
286,1855.284525,0,4.375,4396432.405,0,20,2
287,2084.085695,0,4.375,5547668.492,0,20,2
288,2341.103548,0,4.375,7000363.671,0,20,2
289,2629.817879,0,4.375,8833457.082,0,20,2
290,2954.137626,0,4.375,11146558.62,0,20,2
291,3318.453792,0,4.375,14065361.72,0,20,2
292,3727.698897,0,4.375,17748473.5,0,20,2
293,4187.413759,0,4.375,22396033.45,0,20,2
294,4703.822511,0,4.375,28260588.96,0,20,2
295,5283.916873,0,4.375,35660818.69,0,20,2
296,5935.550812,0,4.375,44998849.52,0,20,2
297,6667.546876,0,4.375,56782108,0,20,2
298,7489.815647,0,4.375,71650893.82,0,20,2
299,8413.489919,0,4.375,90413173.54,0,20,2
300,9451.075427,0,4.375,114088485.4,0,20,2
301,0,0,6.125,0.054977871,1.75,20,1
302,0.106166202,0,6.125,0.014396334,0,20,2
303,0.119259046,0,6.125,0.018166113,0,20,2
304,0.133966552,0,6.125,0.022923035,0,20,2
305,0.150487848,0,6.125,0.028925589,0,20,2
306,0.169046616,0,6.125,0.036499954,0,20,2
307,0.189894127,0,6.125,0.046057718,0,20,2
308,0.213312636,0,6.125,0.058118249,0,20,2
309,0.239619211,0,6.125,0.073336913,0,20,2
310,0.269170018,0,6.125,0.092540688,0,20,2
311,0.30236515,0,6.125,0.116773104,0,20,2
312,0.33965404,0,6.125,0.147350945,0,20,2
313,0.381541546,0,6.125,0.185935804,0,20,2
314,0.428594788,0,6.125,0.234624374,0,20,2
315,0.481450826,0,6.125,0.296062382,0,20,2
316,0.540825284,0,6.125,0.373588354,0,20,2
317,0.607522039,0,6.125,0.471415036,0,20,2
318,0.682444107,0,6.125,0.594858308,0,20,2
319,0.766605866,0,6.125,0.750626051,0,20,2
320,0.861146793,0,6.125,0.947182649,0,20,2
321,0.967346889,0,6.125,1.195208945,0,20,2
322,1.086644009,0,6.125,1.508182634,0,20,2
323,1.22065333,0,6.125,1.903110637,0,20,2
324,1.371189222,0,6.125,2.401453257,0,20,2
325,1.540289807,0,6.125,3.030290321,0,20,2
326,1.730244557,0,6.125,3.8237927,0,20,2
327,1.943625294,0,6.125,4.825079137,0,20,2
328,2.183321004,0,6.125,6.088559321,0,20,2
329,2.452576956,0,6.125,7.682890487,0,20,2
330,2.755038637,0,6.125,9.694708243,0,20,2
331,3.094801113,0,6.125,12.23333433,0,20,2
332,3.476464467,0,6.125,15.43671712,0,20,2
333,3.905196086,0,6.125,19.47892775,0,20,2
334,4.386800617,0,6.125,24.57961906,0,20,2
335,4.927798561,0,6.125,31.01596149,0,20,2
336,5.535514553,0,6.125,39.13770449,0,20,2
337,6.218176532,0,6.125,49.3861818,0,20,2
338,6.98502714,0,6.125,62.31829344,0,20,2
339,7.846448857,0,6.125,78.63676751,0,20,2
340,8.814104575,0,6.125,99.22834635,0,20,2
341,9.901095498,0,6.125,125.2119718,0,20,2
342,11.12213853,0,6.125,157.9995885,0,20,2
343,12.4937655,0,6.125,199.3728683,0,20,2
344,14.03454705,0,6.125,251.5800261,0,20,2
345,15.765344,0,6.125,317.4579876,0,20,2
346,17.7095898,0,6.125,400.5865467,0,20,2
347,19.89360784,0,6.125,505.4828913,0,20,2
348,22.34696779,0,6.125,637.8470656,0,20,2
349,25.10288598,0,6.125,804.8717101,0,20,2
350,28.19867512,0,6.125,1015.632907,0,20,2
351,31.67624946,0,6.125,1281.583375,0,20,2
352,35.58269229,0,6.125,1617.174803,0,20,2
353,39.97089341,0,6.125,2040.643156,0,20,2
354,44.90026518,0,6.125,2574.999612,0,20,2
355,50.43754697,0,6.125,3249.280985,0,20,2
356,56.65770867,0,6.125,4100.127575,0,20,2
357,63.6449658,0,6.125,5173.774203,0,20,2
358,71.49391967,0,6.125,6528.562589,0,20,2
359,80.31083817,0,6.125,8238.111639,0,20,2
360,90.21509463,0,6.125,10395.31788,0,20,2
361,101.3407839,0,6.125,13117.40341,0,20,2
362,113.8385381,0,6.125,16552.28578,0,20,2
363,127.8775657,0,6.125,20886.61575,0,20,2
364,143.6479429,0,6.125,26355.91985,0,20,2
365,161.3631865,0,6.125,33257.39887,0,20,2
366,181.2631455,0,6.125,41966.07767,0,20,2
367,203.6172476,0,6.125,52955.18397,0,20,2
368,228.7281477,0,6.125,66821.86338,0,20,2
369,256.9358254,0,6.125,84319.62825,0,20,2
370,288.6221876,0,6.125,106399.3033,0,20,2
371,324.2162398,0,6.125,134260.6932,0,20,2
372,364.199894,0,6.125,169417.7798,0,20,2
373,409.1144937,0,6.125,213780.9916,0,20,2
374,459.5681431,0,6.125,269761.0157,0,20,2
375,516.2439399,0,6.125,340399.7945,0,20,2
376,579.9092246,0,6.125,429535.8237,0,20,2
377,651.4259689,0,6.125,542012.7356,0,20,2
378,731.7624466,0,6.125,683942.5011,0,20,2
379,822.0063426,0,6.125,863037.5527,0,20,2
380,923.37948,0,6.125,1089029.876,0,20,2
381,1037.254361,0,6.125,1374199.845,0,20,2
382,1165.172752,0,6.125,1734043.533,0,20,2
383,1308.866555,0,6.125,2188114.768,0,20,2
384,1470.281258,0,6.125,2761087.681,0,20,2
385,1651.602272,0,6.125,3484097.495,0,20,2
386,1855.284525,0,6.125,4396432.405,0,20,2
387,2084.085695,0,6.125,5547668.492,0,20,2
388,2341.103548,0,6.125,7000363.671,0,20,2
389,2629.817879,0,6.125,8833457.082,0,20,2
390,2954.137626,0,6.125,11146558.62,0,20,2
391,3318.453792,0,6.125,14065361.72,0,20,2
392,3727.698897,0,6.125,17748473.5,0,20,2
393,4187.413759,0,6.125,22396033.45,0,20,2
394,4703.822511,0,6.125,28260588.96,0,20,2
395,5283.916873,0,6.125,35660818.69,0,20,2
396,5935.550812,0,6.125,44998849.52,0,20,2
397,6667.546876,0,6.125,56782108,0,20,2
398,7489.815647,0,6.125,71650893.82,0,20,2
399,8413.489919,0,6.125,90413173.54,0,20,2
400,9451.075427,0,6.125,114088485.4,0,20,2
401,0,0,7.375,0.023561945,0.75,20,1
402,0.106166202,0,7.375,0.006169857,0,20,3
403,0.119259046,0,7.375,0.007785477,0,20,3
404,0.133966552,0,7.375,0.009824158,0,20,3
405,0.150487848,0,7.375,0.012396681,0,20,3
406,0.169046616,0,7.375,0.015642838,0,20,3
407,0.189894127,0,7.375,0.019739022,0,20,3
408,0.213312636,0,7.375,0.024907821,0,20,3
409,0.239619211,0,7.375,0.031430105,0,20,3
410,0.269170018,0,7.375,0.039660295,0,20,3
411,0.30236515,0,7.375,0.050045616,0,20,3
412,0.33965404,0,7.375,0.063150405,0,20,3
413,0.381541546,0,7.375,0.079686773,0,20,3
414,0.428594788,0,7.375,0.100553303,0,20,3
415,0.481450826,0,7.375,0.126883878,0,20,3
416,0.540825284,0,7.375,0.160109295,0,20,3
417,0.607522039,0,7.375,0.202035016,0,20,3
418,0.682444107,0,7.375,0.254939275,0,20,3
419,0.766605866,0,7.375,0.321696879,0,20,3
420,0.861146793,0,7.375,0.405935421,0,20,3
421,0.967346889,0,7.375,0.512232405,0,20,3
422,1.086644009,0,7.375,0.646363986,0,20,3
423,1.22065333,0,7.375,0.815618844,0,20,3
424,1.371189222,0,7.375,1.029194253,0,20,3
425,1.540289807,0,7.375,1.298695852,0,20,3
426,1.730244557,0,7.375,1.6387683,0,20,3
427,1.943625294,0,7.375,2.067891059,0,20,3
428,2.183321004,0,7.375,2.609382566,0,20,3
429,2.452576956,0,7.375,3.292667352,0,20,3
430,2.755038637,0,7.375,4.154874961,0,20,3
431,3.094801113,0,7.375,5.242857568,0,20,3
432,3.476464467,0,7.375,6.615735909,0,20,3
433,3.905196086,0,7.375,8.348111894,0,20,3
434,4.386800617,0,7.375,10.53412245,0,20,3
435,4.927798561,0,7.375,13.29255492,0,20,3
436,5.535514553,0,7.375,16.77330193,0,20,3
437,6.218176532,0,7.375,21.16550649,0,20,3
438,6.98502714,0,7.375,26.70784004,0,20,3
439,7.846448857,0,7.375,33.70147179,0,20,3
440,8.814104575,0,7.375,42.52643415,0,20,3
441,9.901095498,0,7.375,53.66227364,0,20,3
442,11.12213853,0,7.375,67.71410936,0,20,3
443,12.4937655,0,7.375,85.44551497,0,20,3
444,14.03454705,0,7.375,107.8200112,0,20,3
445,15.765344,0,7.375,136.0534233,0,20,3
446,17.7095898,0,7.375,171.6799486,0,20,3
447,19.89360784,0,7.375,216.6355248,0,20,3
448,22.34696779,0,7.375,273.3630281,0,20,3
449,25.10288598,0,7.375,344.9450186,0,20,3
450,28.19867512,0,7.375,435.271246,0,20,3
451,31.67624946,0,7.375,549.2500178,0,20,3
452,35.58269229,0,7.375,693.0749155,0,20,3
453,39.97089341,0,7.375,874.5613526,0,20,3
454,44.90026518,0,7.375,1103.571262,0,20,3
455,50.43754697,0,7.375,1392.548993,0,20,3
456,56.65770867,0,7.375,1757.197532,0,20,3
457,63.6449658,0,7.375,2217.331801,0,20,3
